ID,LASTNAME,FIRSTNAME,STATE,PHONE,EMAIL,GRADYEAR,GPA,PROGRAM,NEWSLETTER
192755,Frederick, Samira, Illinois, (331) 555-4159, sfrederick@alumni.rouxacademy.com,2008,2.89, Animation, YES
86583,Beasley, Mindy, California, (310) 555-2867, mbeasley@alumni.rouxacademy.com,2003,3.46, Graphic Design, YES
242067,Rowe, Lamont, Washington, (253) 555-4607, lrowe@alumni.rouxacademy.com,2002,3.18, Graphic Design, YES
432400,Gallegos, Ciera, Hawaii, (808) 555-6949, cgallegos@alumni.rouxacademy.com,2011,3.6, Fine Art and Visual Culture, NO
176286,Richard, Marilee, Mississippi, (769) 555-9716, mrichard@alumni.rouxacademy.com,2007,2.54, Animation, NO
938881,Rodriquez, Karissa, Pennsylvania, (717) 555-9238, krodriquez@alumni.rouxacademy.com,2004,3.79, Fine Art and Visual Culture, YES
916882,Cole, Olevia, Texas, (214) 555-5260, ocole@alumni.rouxacademy.com,2010,3.18, Graphic Design, NO
815547,Valentine, Marguerita, Colorado, (720) 555-4533, mvalentine@alumni.rouxacademy.com,2004,3.41, Photography, NO
451438,Chavez, Franchesca, Mississippi, (662) 555-0093, fchavez@alumni.rouxacademy.com,2002,2.09, Fine Art and Visual Culture, YES
179921,Key, Lawrence, Ohio, (440) 555-0890, lkey@alumni.rouxacademy.com,2009,2.57, Fashion and Textile Design, YES
264901,Nielsen, Marci, Oregon, (541) 555-1854, mnielsen@alumni.rouxacademy.com,2003,3.69, Fashion and Textile Design, YES
251257,Dickerson, Dina, Texas, (281) 555-2768, ddickerson@alumni.rouxacademy.com,2000,2.28, Fine Art and Visual Culture, NO
694091,Pennington, Olevia, California, (661) 555-4256, opennington@alumni.rouxacademy.com,2008,3.36, Animation, YES
297188,Walls, Claudia, Michigan, (810) 555-3719, cwalls@alumni.rouxacademy.com,2004,3.41, Animation, YES
786840,Espinoza, Justin, Mississippi, (601) 555-0372, jespinoza@alumni.rouxacademy.com,2008,2.07, Animation, NO
992852,Morris, Lavonia, New York, (585) 555-4105, lmorris@alumni.rouxacademy.com,2004,3.86, Graphic Design, NO
943735,Owens, Nanci, Texas, (903) 555-4253, nowens@alumni.rouxacademy.com,2002,2.28, Graphic Design, NO
525546,Griffith, Antonia, North Carolina, (704) 555-6957, agriffith@alumni.rouxacademy.com,2008,3.89, Graphic Design, YES
801301,Medina, Shela, Florida, (239) 555-0785, smedina@alumni.rouxacademy.com,2011,3.09, Graphic Design, NO
342118,Anthony, Bee, Georgia, (470) 555-3212, banthony@alumni.rouxacademy.com,2001,2.48, Animation, NO
283595,Noble, Rico, Florida, (941) 555-6541, rnoble@alumni.rouxacademy.com,2008,3.83, Graphic Design, NO
495024,Hull, Luann, Virginia, (804) 555-9447, lhull@alumni.rouxacademy.com,2001,3.33, Animation, NO
53188,Blair, Florida, Florida, (407) 555-2607, fblair@alumni.rouxacademy.com,2001,2.92, Fashion and Textile Design, YES
147198,Perkins, Marnie, California, (661) 555-0811, mperkins@alumni.rouxacademy.com,2001,3.97, Photography, YES
970483,Maynard, Janella, Connecticut, (475) 555-9023, jmaynard@alumni.rouxacademy.com,2008,3.3, Photography, NO
371628,Hale, Roland, California, (951) 555-2026, rhale@alumni.rouxacademy.com,2009,2.53, Animation, YES
641859,Brock, Yulanda, Wisconsin, (534) 555-8263, ybrock@alumni.rouxacademy.com,2004,2.63, Graphic Design, NO
330440,Bradford, Annie, Connecticut, (203) 555-9394, abradford@alumni.rouxacademy.com,2009,3.26, Photography, NO
158298,Duffy, Kieth, Idaho, (208) 555-4122, kduffy@alumni.rouxacademy.com,2007,2.06, Fashion and Textile Design, YES
51882,Sweeney, Illa, Illinois, (618) 555-2570, isweeney@alumni.rouxacademy.com,2006,3.19, Animation, YES
411071,Leonard, Stefany, New York, (914) 555-3147, sleonard@alumni.rouxacademy.com,2007,2.54, Fine Art and Visual Culture, NO
935870,Hunter, Remedios, New Jersey, (856) 555-1992, rhunter@alumni.rouxacademy.com,2003,2.71, Fine Art and Visual Culture, YES
641016,Barnes, Marshall, West Virginia, (681) 555-0020, mbarnes@alumni.rouxacademy.com,2009,2, Fine Art and Visual Culture, NO
353066,Blackburn, Beulah, Vermont, (802) 555-7077, bblackburn@alumni.rouxacademy.com,2010,3.2, Photography, NO
870630,Mccullough, Karina, New Jersey, (856) 555-5510, kmccullough@alumni.rouxacademy.com,2003,3.98, Graphic Design, NO
593116,Koch, Gil, Massachusetts, (339) 555-2380, gkoch@alumni.rouxacademy.com,2010,2.32, Animation, NO
133132,Gibson, Rosy, South Carolina, (803) 555-4636, rgibson@alumni.rouxacademy.com,2010,2.79, Graphic Design, YES
910264,Williamson, Jessie, Arizona, (928) 555-0537, jwilliamson@alumni.rouxacademy.com,2008,2.14, Animation, YES
680779,Huffman, Gloria, Ohio, (567) 555-9841, ghuffman@alumni.rouxacademy.com,2001,2.94, Fine Art and Visual Culture, YES
76464,Franks, Charisse, Virginia, (703) 555-1730, cfranks@alumni.rouxacademy.com,2005,2.29, Animation, YES
835616,Livingston, Graham, California, (714) 555-8918, glivingston@alumni.rouxacademy.com,2011,2.52, Photography, NO
981047,Frazier, Andra, Arizona, (520) 555-3871, afrazier@alumni.rouxacademy.com,2010,3.16, Photography, NO
113599,Lewis, Maricruz, Minnesota, (763) 555-7182, mlewis@alumni.rouxacademy.com,2003,3.1, Graphic Design, YES
849073,Noble, Franklin, Arkansas, (501) 555-2494, fnoble@alumni.rouxacademy.com,2009,3.81, Animation, NO
205947,Campos, Lakeshia, California, (661) 555-5748, lcampos@alumni.rouxacademy.com,2004,2.33, Animation, NO
599594,Vang, Ellsworth, New York, (516) 555-8721, evang@alumni.rouxacademy.com,2007,3.78, Fine Art and Visual Culture, YES
373213,Perry, Alexander, Arkansas, (870) 555-5385, aperry@alumni.rouxacademy.com,2011,2.14, Photography, YES
306800,Wagner, Lavern, Texas, (325) 555-4871, lwagner@alumni.rouxacademy.com,2010,2.54, Photography, YES
802688,Trujillo, Dwight, Texas, (830) 555-1292, dtrujillo@alumni.rouxacademy.com,2008,2.57, Fashion and Textile Design, NO
887633,Gibbs, Brunilda, New York, (518) 555-6216, bgibbs@alumni.rouxacademy.com,2001,2.6, Fashion and Textile Design, NO
428179,Joseph, Cory, South Carolina, (864) 555-9047, cjoseph@alumni.rouxacademy.com,2011,3.98, Animation, NO
389607,Mills, Marcene, Massachusetts, (617) 555-4375, mmills@alumni.rouxacademy.com,2006,3.31, Photography, YES
509164,Fowler, Toby, Ohio, (740) 555-5477, tfowler@alumni.rouxacademy.com,2009,3.06, Photography, YES
739330,Serrano, Geneva, Pennsylvania, (878) 555-3417, gserrano@alumni.rouxacademy.com,2007,3.85, Fashion and Textile Design, YES
618317,Shelton, Terese, Florida, (904) 555-3162, tshelton@alumni.rouxacademy.com,2007,2.02, Fine Art and Visual Culture, NO
530930,Giles, Veda, Oklahoma, (918) 555-4195, vgiles@alumni.rouxacademy.com,2008,3.34, Photography, NO
791985,Daniels, Verdie, California, (209) 555-3324, vdaniels@alumni.rouxacademy.com,2007,3.68, Fine Art and Visual Culture, YES
372093,Odonnell, Vonda, California, (619) 555-8457, vodonnell@alumni.rouxacademy.com,2003,3.46, Fine Art and Visual Culture, NO
787620,Berry, Ricky, Arizona, (623) 555-4994, rberry@alumni.rouxacademy.com,2003,2.29, Fine Art and Visual Culture, NO
301682,Obrien, Delphine, Florida, (850) 555-3775, dobrien@alumni.rouxacademy.com,2006,3.18, Animation, YES
425524,Pickett, Chau, Pennsylvania, (412) 555-0657, cpickett@alumni.rouxacademy.com,2009,2.87, Fine Art and Visual Culture, YES
506083,Phelps, Malena, Utah, (385) 555-9990, mphelps@alumni.rouxacademy.com,2007,2.71, Fashion and Textile Design, NO
364634,Petersen, Gianna, Michigan, (517) 555-8005, gpetersen@alumni.rouxacademy.com,2010,3.59, Fine Art and Visual Culture, NO
180620,Booker, Armanda, California, (562) 555-6791, abooker@alumni.rouxacademy.com,2011,2.91, Fashion and Textile Design, YES
351797,Noble, Mai, Tennessee, (615) 555-9283, mnoble@alumni.rouxacademy.com,2008,3.17, Fine Art and Visual Culture, YES
894017,Gilmore, Andreas, Texas, (956) 555-5141, agilmore@alumni.rouxacademy.com,2001,2.94, Animation, YES
735329,Mckinney, Curtis, North Carolina, (336) 555-9530, cmckinney@alumni.rouxacademy.com,2004,3.68, Photography, YES
102317,Buckley, Carlos, Delaware, (302) 555-7584, cbuckley@alumni.rouxacademy.com,2007,3.9, Photography, NO
714077,Davenport, Wade, California, (442) 555-5378, wdavenport@alumni.rouxacademy.com,2010,3.06, Fashion and Textile Design, NO
211413,Harrington, Carmel, Florida, (386) 555-4159, charrington@alumni.rouxacademy.com,2005,2.95, Fashion and Textile Design, NO
778734,Nichols, Babara, Texas, (979) 555-8433, bnichols@alumni.rouxacademy.com,2011,2.15, Photography, YES
264482,Dale, Traci, Washington D.C., (202) 555-2346, tdale@alumni.rouxacademy.com,2001,3.98, Animation, YES
765366,Santiago, Andreas, Colorado, (720) 555-6213, asantiago@alumni.rouxacademy.com,2005,3.53, Animation, NO
385432,Alvarado, Bronwyn, Michigan, (313) 555-4607, balvarado@alumni.rouxacademy.com,2008,3.83, Fashion and Textile Design, YES
44630,Patrick, Alicia, Alaska, (907) 555-4958, apatrick@alumni.rouxacademy.com,2011,2.97, Animation, NO
779076,Lopez, Phillip, Texas, (210) 555-1843, plopez@alumni.rouxacademy.com,2007,3.15, Photography, YES
812123,Ross, Catrice, Massachusetts, (339) 555-0539, cross@alumni.rouxacademy.com,2004,3.68, Fine Art and Visual Culture, YES
345707,Bruce, Aaron, Oregon, (458) 555-2950, abruce@alumni.rouxacademy.com,2008,3.9, Graphic Design, YES
650349,Berger, Johana, Virginia, (571) 555-2695, jberger@alumni.rouxacademy.com,2003,3.11, Fashion and Textile Design, NO
459144,Higgins, Vella, Texas, (830) 555-5145, vhiggins@alumni.rouxacademy.com,2001,3.63, Fine Art and Visual Culture, NO
952289,Drake, Prince, Michigan, (947) 555-9496, pdrake@alumni.rouxacademy.com,2005,2.73, Fine Art and Visual Culture, NO
567181,Peters, Romeo, Texas, (214) 555-0306, rpeters@alumni.rouxacademy.com,2008,3.41, Fine Art and Visual Culture, NO
403995,Pennington, Fletcher, Florida, (561) 555-6699, fpennington@alumni.rouxacademy.com,2004,2.07, Photography, NO
955427,Mcmahon, Willena, Indiana, (812) 555-3031, wmcmahon@alumni.rouxacademy.com,2007,2.66, Photography, YES
983061,Carlson, Claud, Texas, (903) 555-8975, ccarlson@alumni.rouxacademy.com,2002,3.39, Animation, YES
219217,Mckinney, Blair, Virginia, (804) 555-5466, bmckinney@alumni.rouxacademy.com,2000,3.28, Fashion and Textile Design, YES
708946,Gonzales, Cristobal, Georgia, (706) 555-3811, cgonzales@alumni.rouxacademy.com,2008,2.24, Fine Art and Visual Culture, NO
48032,Christensen, Alva, Texas, (210) 555-3851, achristensen@alumni.rouxacademy.com,2002,2.84, Graphic Design, YES
964582,Mccarthy, Lashunda, California, (442) 555-0357, lmccarthy@alumni.rouxacademy.com,2000,3.62, Graphic Design, NO
40234,Terry, Taylor, Oregon, (503) 555-4757, tterry@alumni.rouxacademy.com,2005,2.16, Fashion and Textile Design, NO
109920,Banks, Rafaela, Arizona, (928) 555-2639, rbanks@alumni.rouxacademy.com,2001,2, Fashion and Textile Design, YES
35722,Willis, Jama, Connecticut, (860) 555-3457, jwillis@alumni.rouxacademy.com,2011,2.45, Photography, NO
231808,Parrish, Latesha, Massachusetts, (978) 555-4714, lparrish@alumni.rouxacademy.com,2008,2.73, Animation, NO
535348,Bender, Adelaida, Oklahoma, (918) 555-5013, abender@alumni.rouxacademy.com,2007,3.94, Fine Art and Visual Culture, NO
788142,Townsend, Francis, Illinois, (779) 555-6157, ftownsend@alumni.rouxacademy.com,2011,2.09, Animation, NO
517101,Cochran, Marnie, Maryland, (240) 555-5406, mcochran@alumni.rouxacademy.com,2005,2.48, Fine Art and Visual Culture, YES
256389,Palmer, Nelida, California, (657) 555-0180, npalmer@alumni.rouxacademy.com,2007,3.24, Fine Art and Visual Culture, NO
953365,Grimes, Terrell, Massachusetts, (508) 555-9802, tgrimes@alumni.rouxacademy.com,2000,2.39, Photography, YES
348452,Joyner, Neta, Mississippi, (662) 555-3643, njoyner@alumni.rouxacademy.com,2001,2.71, Fashion and Textile Design, YES
639958,Buckley, Jayme, Minnesota, (320) 555-0637, jbuckley@alumni.rouxacademy.com,2011,3.69, Animation, NO
725116,Henderson, Jody, New York, (212) 555-9729, jhenderson@alumni.rouxacademy.com,2008,2.19, Animation, YES
873848,Bird, Gilbert, Michigan, (248) 555-7040, gbird@alumni.rouxacademy.com,2004,3.11, Animation, NO
68598,Gibbs, Fallon, Texas, (936) 555-2965, fgibbs@alumni.rouxacademy.com,2002,3.54, Photography, NO
477564,Tyson, Jonah, Texas, (936) 555-5290, jtyson@alumni.rouxacademy.com,2011,3.74, Fashion and Textile Design, NO
933822,Pruitt, Ray, Florida, (727) 555-3547, rpruitt@alumni.rouxacademy.com,2010,2.58, Photography, NO
343345,Gutierrez, Ezra, Colorado, (719) 555-6152, egutierrez@alumni.rouxacademy.com,2004,3.19, Graphic Design, NO
944352,Holcomb, Myrl, California, (707) 555-6184, mholcomb@alumni.rouxacademy.com,2007,3.34, Photography, NO
489241,Owens, Alphonse, Kentucky, (859) 555-7457, aowens@alumni.rouxacademy.com,2005,3.1, Fashion and Textile Design, YES
852752,Hurst, Candie, North Carolina, (252) 555-0501, churst@alumni.rouxacademy.com,2010,2.88, Fine Art and Visual Culture, YES
597156,Bradley, Tressa, Delaware, (302) 555-8957, tbradley@alumni.rouxacademy.com,2000,2.96, Animation, NO
904539,Barr, Annett, New Jersey, (551) 555-8512, abarr@alumni.rouxacademy.com,2002,3.79, Fashion and Textile Design, NO
143615,Sargent, Reva, Pennsylvania, (484) 555-0166, rsargent@alumni.rouxacademy.com,2011,3.02, Graphic Design, YES
320487,Chase, Normand, Colorado, (303) 555-1815, nchase@alumni.rouxacademy.com,2001,2.45, Fine Art and Visual Culture, YES
324562,Brown, Keely, Illinois, (312) 555-2466, kbrown@alumni.rouxacademy.com,2011,2.52, Fine Art and Visual Culture, NO
176594,Peters, Bette, Pennsylvania, (215) 555-5194, bpeters@alumni.rouxacademy.com,2006,3.91, Photography, YES
741391,Mcknight, Arnoldo, California, (650) 555-3465, amcknight@alumni.rouxacademy.com,2006,3.93, Fine Art and Visual Culture, YES
442425,Fitzpatrick, Maureen, New York, (716) 555-9820, mfitzpatrick@alumni.rouxacademy.com,2000,2.13, Fashion and Textile Design, NO
75557,Lindsey, Dianne, Massachusetts, (617) 555-7325, dlindsey@alumni.rouxacademy.com,2006,2.77, Animation, NO
72939,Mendoza, Sung, Ohio, (234) 555-6234, smendoza@alumni.rouxacademy.com,2005,2.2, Animation, NO
76921,Golden, Houston, New York, (929) 555-9919, hgolden@alumni.rouxacademy.com,2005,2.5, Graphic Design, NO
344586,Marshall, Bettie, Utah, (385) 555-5910, bmarshall@alumni.rouxacademy.com,2004,2.93, Graphic Design, YES
820495,Dejesus, Tennie, Massachusetts, (978) 555-0833, tdejesus@alumni.rouxacademy.com,2009,2.47, Fine Art and Visual Culture, NO
304681,Wynn, Sabra, Illinois, (309) 555-4123, swynn@alumni.rouxacademy.com,2002,3.8, Graphic Design, NO
411339,Guzman, Justa, California, (626) 555-2024, jguzman@alumni.rouxacademy.com,2006,3.17, Photography, NO
879020,David, Melba, Ohio, (614) 555-7871, mdavid@alumni.rouxacademy.com,2005,2.55, Graphic Design, NO
401909,Benjamin, Lauretta, Louisiana, (225) 555-2999, lbenjamin@alumni.rouxacademy.com,2009,2.05, Fashion and Textile Design, YES
43685,Martin, Maye, Minnesota, (651) 555-5659, mmartin@alumni.rouxacademy.com,2009,3.72, Fine Art and Visual Culture, YES
101260,Key, Chang, Wisconsin, (414) 555-9033, ckey@alumni.rouxacademy.com,2006,3.45, Graphic Design, NO
59225,Henry, Clelia, Nevada, (775) 555-0314, chenry@alumni.rouxacademy.com,2004,2.28, Graphic Design, YES
922839,Dale, Teressa, Texas, (682) 555-3427, tdale2@alumni.rouxacademy.com,2005,2.99, Animation, NO
469342,Hubbard, Lupe, Illinois, (224) 555-6840, lhubbard@alumni.rouxacademy.com,2010,3.05, Fashion and Textile Design, NO
833739,Barrera, Cristopher, Connecticut, (203) 555-2083, cbarrera@alumni.rouxacademy.com,2005,2.33, Animation, NO
801807,Pitts, Kelly, New Jersey, (201) 555-2072, kpitts@alumni.rouxacademy.com,2006,3.31, Fine Art and Visual Culture, NO
678906,Gray, Reggie, Texas, (512) 555-5268, rgray@alumni.rouxacademy.com,2010,2.35, Fine Art and Visual Culture, NO
698622,Fischer, Tori, Washington, (425) 555-5711, tfischer@alumni.rouxacademy.com,2001,2.35, Fashion and Textile Design, YES
980146,Goodwin, Maxwell, Iowa, (641) 555-8952, mgoodwin@alumni.rouxacademy.com,2010,2.08, Fashion and Textile Design, NO
7188,Myers, Lorrine, Missouri, (816) 555-1741, lmyers@alumni.rouxacademy.com,2008,2.65, Photography, YES
444439,Fry, Buster, Florida, (786) 555-4858, bfry@alumni.rouxacademy.com,2010,3.23, Photography, NO
335882,Kane, Milagro, California, (818) 555-2047, mkane@alumni.rouxacademy.com,2003,2.04, Fine Art and Visual Culture, NO
233305,Mclean, Gertrudis, Arizona, (602) 555-4624, gmclean@alumni.rouxacademy.com,2003,2.09, Animation, YES
746255,Tanner, Kelley, New York, (929) 555-8824, ktanner@alumni.rouxacademy.com,2011,2, Fine Art and Visual Culture, YES
427105,Cross, Nettie, Michigan, (616) 555-4710, ncross@alumni.rouxacademy.com,2002,2.95, Graphic Design, YES
